NEWpi	gerp	mr	tau	SIFTsorghum	SIFTcounts	frac	rho	Mpi	Mexp	Sexp	winLen	geneLen
0.0217	0.332511	1.604937	6.675848	1	1	0	31.94	0.00473693	1.33444312273507	1.06702705582729	6898	665
0.0164	0.175658	1.451197	10.541415	0.515	8	0	30.85	0.0024874	0.5001187199	0.3842518482	11747	3719
0.0216	0.021534	0.100621	1.221844	0	1	2	30.29	0.00998841941250218	1.10487530456755	0.978785919542014	6020	703
0.0167	-0.006631	0.787202	8.419094	0.275	18	0	27.39	0.00030107	1.08409524536947	1.03960534066299	7552	2477
0.0152	0.265528	1.033261	3.490355	0.356	5	0	41.72	0.0059114	2.1258261887	1.64653829505661	11405	1418
0.007	-0.065651	0.438521	0.364356	0.3129032258	31	2	39.31	0.0102904700570492	1.98666241931637	1.70085758217661	12636	1774
0.0123	0.394927	1.331696	16.409027	0.3375	4	2	15.63	0.00593157999671927	1.43765660248172	1.27284490416717	2847	529
0.016	0.531352	1.462771	36.843685	0.594	10	0	20.75	0.00274047	0.861214630833051	0.6366306432	3864	2338
0.0107	0.094413	0.964725	26.93965	0.692	5	0	14.89	0.01446408	0.9883580817	0.68484697	3546	3282
0.0135	0.16009	0.656926	13.789381	0.3352941176	17	0	90.47	0.00711266	1.2033960314	0.7696839134	28542	20574
0.0123	-0.009815	0.040203	1.178129	0.13	1	2	21.39	0.0108563269908646	1.52546317537595	1.7632023414	10004	2067
0.0094	-0.019677	1.693157	0.197694	0.44125	16	2	23.28	0.00562827551059413	0.724082589797319	0.4487684162	7155	5755
0.0127	0.19361	1.224659	25.282218	0.5453125	32	0	95.56	0.00422593	1.0449639727	0.635890232549255	27787	19925
0.0177	0.07521	1.484167	9.869781	0.3928571429	7	0	37.14	0.00462746	3.608153503	1.070532544	6946	1943
0.0264	0.76168	2.011425	7.219906	0.3036363636	11	0	67.48	0.01235376	1.2056643559739	1.08375455355154	17246	2617
0.0209	0.174547	0.697189	2.967848	0.8625	4	0	81.2	0.00479736	1.54513995788308	1.2485319045	16842	2273
0.0159	0.144681	0.842034	14.105233	0.6966666667	3	0	32.23	0.00760394	0.3661509951	0.3280941045	6172	3557
0.0294	0.14122	0.277775	6.73798332631642	0.2307692308	13	2	19.17	0.00550821373624498	1.08168484758917	1.15908674909217	2928	1965
0.0132	0.054215	0.77708	11.815162	0.625	14	0	14.73	0.00161111	1.7875310479	2.2540388623	6081	3650
0.0245	-0.014996	0.071008	0.204621	0.4615384615	13	2	8.52	0.00940713061463821	2.41638095844217	1.6968431312	3592	830
0.0089	-0.007498	0.962483	14.170852	0.5566666667	3	0	13.28	0.00342173	0.7393783741	0.3650951846	6769	5013
0.012	0.413094	1.449334	26.982674	0.7575	12	0	19.02	0.00482748	0.432604183	0.4252819741	5512	4075
0.0156	0.326245	1.720695	18.313647	0.6433333333	9	0	10.45	0.00557835	0.8897105341	0.7426100696	5393	2494
0.0208	0.035622	0.651766	26.53962	0.3542857143	14	1	10.74	0.008220065	0.6632524338	0.2987343577	7736	5955
0.0171	0.236141	1.411557	6.393242	0.625	14	0	31.7	0.00580396	3.0826068089	1.9528589028	12074	1809
0.0041	0.696109	2.145272	7.432601	1	1	0	49.18	0.00479016	0.876337084	0.923261556153463	12285	1454
0.0048	0.346624	1.554198	10.355956	0.515625	16	0	29.27	0.00217012	0.995229356342857	0.9201011249	12399	4013
0.005	0.435716	1.194659	8.870035	0.4966666667	6	0	31.64	0.00376325	1.7600635841	0.7203775715	9995	2676
0.0209	0.16298	1.162907	21.1894	0.534	15	0	12.72	0.00214142	0.4797738468	0.292651308	8585	5392
0.0205	0.060677	1.147161	14.111849	0.7425	8	2	25.6	0.00643040878890912	0.755544127245928	0.3544487323	9866	5276
0.0342	0.057431	0.224009	3.802131	0.748	5	0	20.84	0.00309279	1.6009935876	0.5500537212	6287	2855
0.0112	0.300658	1.729501	43.199001	0.6077777778	9	1	16.63	0.001606995	0.455387392	0.3554542518	11809	10698
0.0192	0.133446	0.842379	0.176259	0.608	5	2	15.62	0.00987964523558662	1.51055900649696	1.7185675535	2085	1203
0.0251	0	0	2.44475226927946	0.25	8	2	14.36	0.00484253538528202	1.09400779013449	1.38141357515875	3387	452
0.0193	-0.081303	0.902689	0.175381	0.5595238095	21	2	22.44	0.00767606611796911	1.27010728914014	1.2368804343	6828	4607
0.0134	0.091251	0.296329	6.683523	0	0	1	23.32	0.00130647	0.6381307865	0.3967431461	2907	2618
0.0125	0.255624	1.074378	18.586945	0.5016666667	6	2	5.8	0.0077694989948914	2.04556333592167	1.7343909274	1915	1062
0.0138	0.29018	0.978219	7.278419	0.08666666667	3	2	21.14	0.0074720065427152	1.36813898717824	1.16441303994162	3554	1685
0.0136	0.086625	0.792504	10.099054	0.34	3	2	70.47	0.00641340757079778	0.961845682228641	0.8678317811	18177	5096
0.0199	0.516357	1.30519	3.141851	0.812	5	0	104.36	0.00240659	1.72824497900745	1.177350058	27543	1860
0.0117	0	0	1.403159	0.474	5	2	86.76	0.00702477735919069	1.77463541954461	1.39479384986305	36782	1747
0.0158	0.312117	0.972449	2.384541	0.31	4	0	39.38	0.00352948	0.7879127182	0.9568137083	23138	1228
0.0111	0.080674	1.38391	24.10685	0.278	5	1	6.7	0.005528995	0.6188940431	0.3871670415	11357	6623
0.0088	0.00052	0.687927	2.397709	0	0	0	12.38	0.00444329	1.15527391584147	0.9108538875	6941	2141
0.0082	0.24367	1.328735	16.788517	0.5025	4	0	11.89	0.01033396	0.6639512663	0.6193594425	13176	7193
0.0099	0.145512	1.27933	5.935062	0.635	2	0	29.91	0.00554407	0.5090726965	0.3156010753	7715	1848
0.0177	0.135019	1.249037	13.673317	0.8971428571	7	2	16.44	0.00741767645421273	1.8108887734753	2.4367075856	2882	1745
0.0175	0.149753	1.694219	13.173475	0.4581818182	11	0	15.23	0.00297123	1.5801799922	2.1970751057	3721	1409
