removed_feature,set,rep,rmse,accuracy,r2
none,Train,0,0.007698425087013529,0.49504299728034756,0.2446913192290977
none,Development,0,0.007792711364327047,0.45345343060826354,0.20492634374717877
none,Test,0,0.007712313423831822,0.47250268643678006,0.22277140945867546
gerp,Train,0,0.007629884818211487,0.5080517823274677,0.25808070873497546
gerp,Development,0,0.007691993760848269,0.476350437349149,0.22534553352793096
gerp,Test,0,0.007614753267962154,0.49360211905773177,0.24231079755442764
mr,Train,0,0.007759952845583413,0.4838868479426271,0.2325698373906422
mr,Development,0,0.007822584471341544,0.4467220642256615,0.19881888146236737
mr,Test,0,0.007791454565513144,0.456317175737609,0.20673825420120195
tau,Train,0,0.007659316257717622,0.5075252813726535,0.2523459256379875
tau,Development,0,0.007733203081826945,0.46667688226698134,0.21702298461926894
tau,Test,0,0.007728683187025348,0.46944370639200483,0.21946849633238574
SIFTsorghum,Train,0,0.007638822126244703,0.5085388174324067,0.25634158818743547
SIFTsorghum,Development,0,0.0077545091212941905,0.46344233555060355,0.21270262220014913
SIFTsorghum,Test,0,0.007658135100966515,0.486315466827257,0.23365297855705613
SIFTcounts,Train,0,0.00813821099350204,0.3971344857590136,0.15592975550462562
SIFTcounts,Development,0,0.008247981074060846,0.33472226495773116,0.10931221962675719
SIFTcounts,Test,0,0.008105454548926397,0.3783604808839491,0.14151210450701868
frac,Train,0,0.007790711030902817,0.4766880811082248,0.22647404252811454
frac,Development,0,0.007826485745804414,0.4455336397550071,0.1980195530933806
frac,Test,0,0.007772844044568346,0.45916044902502384,0.21052326838117708
rho,Train,0,0.007805159966890358,0.4823452904972986,0.223602163109326
rho,Development,0,0.00791384199757343,0.4388400308715956,0.18001684063586998
rho,Test,0,0.007878793780045227,0.44643890981775247,0.18885425723255744
Mpi,Train,0,0.007677167639006586,0.500539994131621,0.24885678617203577
Mpi,Development,0,0.007843166678897064,0.44164290803541445,0.19459731763828203
